Date,Open,High,Low,Close
21/06/2023,4380.01,4386.22,4360.14,4365.69
20/06/2023,4396.11,4400.15,4367.19,4388.71
16/06/2023,4440.95,4448.47,4407.44,4409.59
15/06/2023,4365.33,4439.2,4362.6,4425.84
14/06/2023,4366.29,4391.82,4337.85,4372.59
13/06/2023,4352.61,4375.37,4349.31,4369.01
12/06/2023,4308.32,4340.13,4304.37,4338.93
09/06/2023,4304.88,4322.62,4291.7,4298.86
08/06/2023,4268.69,4298.01,4261.07,4293.93
07/06/2023,4285.47,4299.19,4263.96,4267.52
06/06/2023,4271.34,4288.33,4263.09,4283.85
05/06/2023,4282.99,4299.28,4266.82,4273.79
02/06/2023,4241.01,4290.67,4241.01,4282.37
01/06/2023,4183.03,4232.43,4171.64,4221.02
31/05/2023,4190.74,4195.44,4166.15,4179.83
30/05/2023,4226.71,4231.1,4192.18,4205.52
26/05/2023,4156.16,4212.87,4156.16,4205.45
25/05/2023,4155.71,4165.74,4129.73,4151.28
24/05/2023,4132.96,4132.96,4103.98,4115.24
23/05/2023,4176.8,4185.68,4142.54,4145.58
22/05/2023,4190.78,4209.22,4179.68,4192.63
19/05/2023,4204.15,4212.91,4180.2,4191.98
18/05/2023,4157.68,4202.2,4153.5,4198.05
17/05/2023,4122.85,4164.67,4113.62,4158.77
16/05/2023,4127.95,4135.54,4109.86,4109.9
15/05/2023,4126.65,4141.25,4110.27,4136.28
12/05/2023,4138.54,4143.74,4099.12,4124.08
11/05/2023,4132.24,4132.8,4109.29,4130.62
10/05/2023,4143.74,4154.28,4098.92,4137.64
09/05/2023,4124.25,4130.35,4116.65,4119.17
08/05/2023,4136.98,4142.3,4123.81,4138.12
05/05/2023,4084.73,4147.02,4084.73,4136.25
04/05/2023,4082.55,4082.61,4048.28,4061.22
03/05/2023,4122.25,4148.3,4088.86,4090.75
02/05/2023,4164.1,4164.1,4089.72,4119.58
01/05/2023,4166.79,4186.92,4164.12,4167.87
28/04/2023,4129.63,4170.06,4127.18,4169.48
27/04/2023,4075.29,4138.24,4075.29,4135.35
26/04/2023,4087.78,4089.67,4049.35,4055.99
25/04/2023,4126.43,4126.43,4071.38,4071.63
